IdLoc;Nom Voie;Surface Carrez du 1er lot;Type local;Surface reelle bati;Nombre pieces principales;Id Commune
1;CENTRALE;50.42;Appartement;52;2;1
2;DU CHATEAU;48.22;Appartement;48;3;2
21;LES JARDINS DE CHEVRY;30.23;Appartement;30;1;2
81;LA PIECE;123.16;Maison;118;5;2
133;DES MORAINES;42.92;Appartement;41;2;2
3;DU MONT BLANC;130.8;Appartement;130;6;3
9;JEAN DE GINGINS;93.23;Maison;96;4;3
16;DU SQUARE DE LAUSANNE;88.11;Appartement;88;4;3
87;DE LAUSANNE;135.68;Appartement;133;4;3
91;DES VOIRONS;46.05;Appartement;46;2;3
126;DES ECOLIERS;51.7;Appartement;42;2;3
138;DU CONTE DES PERMISSIONS;58.62;Appartement;63;2;3
163;DU PEUDEX;67.33;Appartement;63;3;3
170;D ARBERE;96.46;Maison;96;5;3
172;DU JURA;90.4;Appartement;90;4;3
174;GRANDE RUE;50.11;Appartement;35;1;3
4;DE L'ABBE JOLIVET;109.22;Maison;109;5;4
11;DE POUGNY;35.6;Appartement;36;2;4
5;BUFFON;108.65;Appartement;91;4;5
15;TURENNE;82.6;Appartement;84;4;5
63;DE LA REPUBLIQUE;38;Appartement;39;1;5
71;LAMARTINE;47.65;Appartement;62;3;5
86;DE SAVOIE;75;Appartement;74;4;5
89;DE VOUVRAY;62.38;Appartement;63;3;5
90;DE VOUVRAY;92.04;Appartement;100;4;5
106;DE VOUVRAY;81.24;Appartement;83;4;5
108;GEORGES MARIN;69.66;Appartement;69;3;5
111;ANTOINE JACQUET;88.83;Appartement;88;4;5
118;JOLIOT CURIE;56.65;Appartement;56;2;5
131;COLONEL XAVIER RENDU;54.7;Appartement;54;2;5
135;BUFFON;70.15;Appartement;69;3;5
136;PARMENTIER;57.23;Appartement;56;2;5
139;JOSEPH MARION;61.89;Appartement;60;3;5
151;DE L AVENIR;89.2;Appartement;89;5;5
152;TURENNE;28.8;Appartement;40;1;5
155;GEORGES MARIN;68.92;Appartement;68;3;5
165;ALBERT CAMUS;58.3;Appartement;59;2;5
6;JEAN FALCONNIER;31.65;Appartement;32;2;6
32;DE LA MAIRIE;35.86;Appartement;50;3;6
