Id Commune;Commune;Code postal;Code departement
1;SAINT-ETIENNE-DU-BOIS;1370;1
2;CHEVRY;1170;1
3;DIVONNE-LES-BAINS;1220;1
4;PERON;1630;1
5;VALSERHONE;1200;1
6;CULOZ;1350;1
7;ST-GENIS-POUILLY;1630;1
8;OYONNAX;1100;1
9;ST-GERMAIN-DE-JOUX;1130;1
10;GEX;1170;1
11;AMBERIEU-EN-BUGEY;1500;1
12;CESSY;1170;1
13;SAULT-BRENAZ;1150;1
14;FERNEY-VOLTAIRE;1210;1
15;SEGNY;1170;1
16;LAGNIEU;1150;1
17;LE POIZAT-LALLEYRIAT;1130;1
18;BELLEY;1300;1
19;ORNEX;1210;1
20;DORTAN;1590;1
21;PREVESSIN-MOENS;1280;1
22;BRENOD;1110;1
23;SAINT-JEAN-LE-VIEUX;1640;1
24;NANTUA;1130;1
25;SAINT-DENIS-EN-BUGEY;1500;1
26;THOIRY;1710;1
27;BELLIGNAT;1100;1
28;PLATEAU D'HAUTEVILLE;1110;1
29;LELEX;1410;1
30;VESANCY;1170;1
31;IZERNORE;1580;1
32;ECHENEVEX;1170;1
33;VERSONNEX;1210;1
34;SAINT-VULBAS;1150;1
35;COLLONGES;1550;1
36;CHAMPAGNE-EN-VALROMEY;1260;1
37;JUJURIEUX;1640;1
38;MATAFELON-GRANGES;1580;1
39;HAUT-VALROMEY;1260;1
40;ARBENT;1100;1
41;LOYETTES;1360;1
42;MIJOUX;1410;1
43;SERGY;1630;1
44;FARGES;1550;1
45;CROZET;1170;1
46;VILLARS-LES-DOMBES;1330;1
47;MEXIMIEUX;1800;1
48;MONTCEAUX;1090;1
49;MONTLUEL;1120;1
50;JASSANS-RIOTTIER;1480;1
51;BEAUREGARD;1480;1
52;DAGNEUX;1120;1
53;MIONNAY;1390;1
54;VILLIEU-LOYES-MOLLON;1800;1
55;CHAUNY;2300;2
56;LAON;2000;2
57;LA FERE;2800;2
58;URCEL;2000;2
59;SAINT GOBAIN;2410;2
60;TERGNIER;2700;2
61;FOLEMBRAY;2670;2
62;SAINT QUENTIN;2100;2
63;SOISSONS;2200;2
64;COURMELLES;2200;2
65;VIC SUR AISNE;2290;2
66;VILLERS-COTTERETS;2600;2
67;LARGNY SUR AUTOMNE;2600;2
68;NANTEUIL LA FOSSE;2880;2
69;VAILLY-SUR-AISNE;2370;2
70;COEUVRES ET VALSERY;2600;2
71;BELLEU;2200;2
72;CHATEAU THIERRY;2400;2
73;FERE EN TARDENOIS;2130;2
74;MOULINS;3000;3
75;YZEURE;3400;3
76;CUSSET;3300;3
77;VICHY;3200;3
78;SISTERON;4200;4
79;RIEZ;4500;4
80;ENCHASTRAYES;4400;4
81;CHATEAU-ARNOUX-SAINT-AUBAN;4160;4
82;DIGNE-LES-BAINS;4000;4
83;MONTCLAR;4140;4
84;ALLOS;4260;4
85;CASTELLANE;4120;4
86;JAUSIERS;4850;4
87;LE LAUZET UBAYE;4340;4
88;SEYNE;4140;4
89;SAINTE CROIX DU VERDON;4500;4
90;FAUCON-DE-BARCELONNETTE;4400;4
91;BARCELONNETTE;4400;4
92;GREOUX-LES-BAINS;4800;4
93;SAINT-MARTIN-DE-BROMES;4800;4
94;PEIPIN;4200;4
95;VOLX;4130;4
96;FORCALQUIER;4300;4
97;SELONNET;4140;4
98;MANOSQUE;4100;4
99;UVERNET-FOURS;4400;4
100;NOYERS-SUR-JABRON;4200;4
101;PIERRERUE;4300;4
102;ORAISON;4700;4
103;L ESCALE;4160;4
104;VILLENEUVE;4180;4
105;VALENSOLE;4210;4
106;VOLONNE;4290;4
107;SAINTE-TULLE;4220;4
108;SAINT-ETIENNE-LES-ORGUES;4230;4
109;DEMANDOLX;4120;4
110;BARREME;4330;4
111;LARAGNE-MONTEGLIN;5300;5
112;SAINT-MICHEL-DE-CHAILLOL;5260;5
113;MONTGARDIN;5230;5
114;VARS;5560;5
115;EMBRUN;5200;5
116;SAINT-SAUVEUR;5200;5
117;BRIANCON;5100;5
118;ORCIERES;5170;5
119;VALLOUISE-PELVOUX;5340;5
120;L'ARGENTIERE-LA-BESSEE;5120;5
121;GAP;5000;5
122;LE DEVOLUY;5250;5
123;LA CHAPELLE-EN-VALGAUDEMAR;5800;5
124;ABRIES-RISTOLAS;5460;5
125;LA SALLE;5240;5
126;VEYNES;5400;5
127;ANCELLE;5260;5
128;LES ORRES;5200;5
129;SERRES;5700;5
130;RISOUL;5600;5
131;CHORGES;5230;5
132;PUY SAINT VINCENT;5290;5
133;SAINT-BONNET-EN-CHAMPSAUR;5500;5
134;NEVACHE;5100;5
135;LE MONETIER-LES-BAINS;5220;5
136;LA BATIE NEUVE;5230;5
137;GUILLESTRE;5600;5
138;SAVINES-LE-LAC;5160;5
139;MONTGENEVRE;5100;5
140;LAYE;5500;5
141;PUY-SANIERES;5200;5
142;SAINT-CHAFFREY;5330;5
143;NICE;6000;6
144;NICE;6300;6
145;NICE;6100;6
146;SAINT-ANDRE DE LA ROCHE;6730;6
147;LA TRINITE;6340;6
148;FALICON;6950;6
149;NICE;6200;6
150;MENTON;6500;6
151;ROQUEBRUNE CAP MARTIN;6190;6
152;BEAUSOLEIL;6240;6
