Idtransac;Date mutation;Valeur fonciere;IdLoc
1;2020-02-03;56000;1
2;2020-01-02;165000;2
3;2020-01-08;720000;3
21;2020-01-27;123100;21
4;2020-01-06;429250;4
81;2020-02-25;442100;81
5;2020-01-07;220900;5
133;2020-03-16;182000;133
6;2020-01-21;42000;6
7;2020-01-07;262000;7
9;2020-01-16;563130;9
8;2020-01-08;190000;8
16;2020-01-20;561550;16
87;2020-02-25;640000;87
10;2020-01-17;535000;10
91;2020-03-09;282000;91
11;2020-01-16;330000;11
126;2020-04-15;230000;126
12;2020-01-27;110600;12
138;2020-04-24;289150;138
13;2020-01-30;50000;13
163;2020-05-29;371550;163
14;2020-01-09;212000;14
170;2020-05-19;513350;170
15;2020-01-15;160000;15
172;2020-06-02;471810;172
174;2020-06-04;243000;174
17;2020-01-28;358000;17
18;2020-01-22;220000;18
19;2020-01-27;79300;19
20;2020-01-06;285000;20
63;2020-02-14;90500;63
22;2020-01-16;107500;22
71;2020-02-19;54000;71
23;2020-01-30;128810;23
86;2020-02-28;167000;86
24;2020-02-05;31000;24
89;2020-03-04;232550;89
25;2020-01-21;125000;25
90;2020-03-04;90000;90
26;2020-01-31;285000;26
106;2020-03-25;132300;106
27;2020-02-03;140500;27
108;2020-03-16;131500;108
28;2020-01-27;101050;28
111;2020-03-11;181970;111
29;2020-01-31;530000;29
118;2020-03-31;164000;118
30;2020-01-29;486415;30
131;2020-04-21;138000;131
31;2020-01-28;185000;31
135;2020-04-28;114400;135
32;2020-01-16;131376;32
136;2020-04-29;98000;136
33;2020-01-23;155000;33
139;2020-04-29;104000;139
34;2020-01-31;150000;34
151;2020-05-15;79370;151
35;2020-02-03;67000;35
152;2020-05-15;69800;152
36;2020-01-13;114000;36
155;2020-05-12;136000;155
37;2020-02-07;143850;37
165;2020-05-20;82500;165
38;2020-01-23;237900;38
39;2020-01-24;425000;39
40;2020-02-06;220000;40
122;2020-04-10;50000;122
41;2020-02-07;55000;41
42;2020-02-07;164665;42
43;2020-02-10;89000;43
44;2020-02-06;475150;44
45;2020-02-12;132500;45
46;2020-02-05;68000;46
50;2020-02-03;332500;50
47;2020-01-30;570840;47
56;2020-02-12;133000;56
48;2020-02-03;135700;48
57;2020-01-29;580450;57
49;2020-02-05;62500;49
77;2020-02-17;189350;77
104;2020-03-03;251500;104
51;2020-02-07;428000;51
137;2020-04-17;505000;137
52;2020-01-28;210000;52
142;2020-05-07;483800;142
53;2020-02-12;50000;53
146;2020-05-05;162000;146
54;2020-01-28;592487;54
162;2020-05-15;469820;162
55;2020-02-10;295000;55
166;2020-05-12;439785;166
177;2020-06-17;595600;178
58;2020-02-20;105500;58
59;2020-02-04;152900;59
96;2020-02-28;139130;96
60;2020-02-05;352300;60
110;2020-03-31;114500;110
61;2020-02-17;215000;61
116;2020-03-16;16300;116
62;2020-02-14;128460;62
64;2020-02-11;305500;64
65;2020-02-18;430000;65
66;2020-02-04;152470;66
67;2020-02-13;55000;67
68;2020-02-18;465660.47;68
69;2020-02-12;167550;69
92;2020-03-03;152000;92
70;2020-02-11;212862;70
98;2020-03-10;222450;98
120;2020-04-03;210000;120
72;2020-02-14;390000;72
132;2020-04-09;190000;132
73;2020-02-24;160000;73
140;2020-04-30;245000;140
74;2020-02-25;156580;74
156;2020-05-12;234810;156
75;2020-02-18;129258;75
159;2020-05-06;294000;159
76;2020-02-28;210000;76
175;2020-06-04;100000;175
78;2020-02-21;310000;78
79;2020-02-25;435000;79
80;2020-02-20;505000;80
82;2020-02-17;506000;82
83;2020-02-12;292000;83
84;2020-03-03;200000;84
88;2020-02-28;74000;88
85;2020-02-27;315800;85
99;2020-03-16;147500;99
144;2020-05-07;188000;144
150;2020-05-20;170000;150
115;2020-03-18;247000;115
134;2020-03-26;271000;134
169;2020-05-18;161000;169
93;2020-03-17;164000;93
173;2020-06-11;220470;173
94;2020-03-05;389500;94
95;2020-03-11;43000;95
97;2020-03-11;229100;97
100;2020-03-10;440000;100
101;2020-03-02;495000;101
102;2020-03-11;510000;102
103;2020-03-27;170000;103
105;2020-03-19;98000;105
124;2020-04-22;223905;124
127;2020-04-08;445000;127
107;2020-03-10;126000;107
129;2020-04-09;145900;129
148;2020-04-29;367000;148
109;2020-03-12;266960;109
154;2020-05-19;116500;154
161;2020-05-12;230000;161
112;2020-03-19;70000;112
113;2020-04-01;45000;113
143;2020-05-07;185000;143
114;2020-04-07;375000;114
117;2020-03-16;60000;117
141;2020-05-06;115000;141
119;2020-03-17;93585;119
176;2020-05-29;193700;176
121;2020-03-14;120000;121
123;2020-04-03;174850;123
125;2020-04-15;540000;125
145;2020-05-13;185000;145
167;2020-05-18;65000;167
128;2020-04-27;44000;128
171;2020-06-02;83000;171
130;2020-04-22;57000;130
157;2020-05-15;410000;157
168;2020-05-15;469000;168
147;2020-04-17;76000;147
149;2020-05-19;324050;149
153;2020-05-18;54120;153
158;2020-05-14;205000;158
164;2020-05-12;315000;164
160;2020-05-11;620000;160
178;2020-06-26;225000;179
179;2020-01-14;106000;180
180;2020-01-10;203400;181
181;2020-01-07;212150;182
182;2020-01-03;102000;183
185;2020-04-06;130000;186
183;2020-01-16;150200;184
184;2020-01-13;129400;185
186;2020-05-15;84800;187
187;2020-05-20;282600;188
188;2020-05-22;145100;189
189;2020-01-16;87000;190
190;2020-01-03;142000;191
191;2020-01-15;66000;192
196;2020-02-14;70000;197
192;2020-01-22;71500;193
209;2020-05-11;90000;210
193;2020-01-10;68100;194
194;2020-01-24;58900;195
195;2020-02-17;37900;196
197;2020-02-21;112900;198
198;2020-02-21;39500;199
199;2020-02-24;39900;200
200;2020-02-19;78100;201
201;2020-02-06;37015;202
202;2020-03-12;93000;203
203;2020-04-09;35000;204
204;2020-04-06;42500;205
205;2020-04-09;88000;206
206;2020-05-06;80900;207
207;2020-05-04;34000;208
208;2020-05-18;84000;209
210;2020-05-26;81500;211
211;2020-05-26;27000;212
214;2020-05-30;44500;215
212;2020-05-26;20000;213
215;2020-06-05;75000;216
